name,yahoo_ticker
EUR/USD, EURUSD=X
USD/GBP, GBPUSD=X
pounds, GBPUSD=X
USD/AUD, AUDUSD=X
USD/NZD, NZDUSD=X
EUR/JPY, EURJPY=X
GBP/JPY, GBPJPY=X
EUR/GBP, EURGBP=X
EUR/CAD, EURCAD=X 
EUR/SEK, EURSEK=X
EUR/CHF, EURCHF=X
EUR/HUF, EURHUF=X
EUR/JPY, EURJPY=X
USD/CNY, CNY=X
USD/HKD, HKD=X
USD/SGD, SGD=X
USD/INR, INR=X
USD/MXN, MXN=X
USD/PHP, PHP=X
USD/IDR, IDR=X
USD/THB, THB=X
USD/MYR, MYR=X
USD/ZAR, ZAR=X
USD/RUB, RUB=X
USD/JPY, JPY=X
BTCUSD, BTC-USD
ETHUSD, ETH-USD
Tether, USDUSDT-USD
bitcoins, BTC-USD
bitcoin, BTC-USD
BTC, BTC-USD 
ethereum, ETH-USD
USD Coin, USDUSDC-USD
ETH, ETH-USD
ETHUSD, ETH-USD
ETH-USD, ETH-USD

